"","X","lyrics","song","year","album","peak","us_pop","us_rnb","decade","chart_level","charted"
"107",770,"all of my life  i have never wanted anyone like i wanted you every night  i said a prayer to god and his angels i am sure they knew the many tears that i would have to cry if i ever had to leave your side until u are in my arms again i know this pain will never end this broken heart will never mend until u are in my arms again every mornin  when i awaken  i imagine you sleepin  in your bed wrong or right the reason  you are taken from my embrace well  it never said  cuz every day that you do not return is another day that my heart just yearns and yearns that why until u are in my arms again i know this pain will never end this broken heart will never mend until u are in my arms again if life remains a mystery then there no reason to the rhyme and you  you will never know what you mean to me till you are mine  all mine until u are in my arms again until u are in my arms again until u are in my arms again until u are  until u are  until u are in my arms again no  ai not never gonna end never gonna mend until u are back  right back in my arms again i will never see like others see  i know that you will come back to me  i know you are gonna come right back to me  come on back to me  and this time you will never leave my arms again  never leave my arms again  until u are in my arms again until u are in my arms again until u are in my arms again come on back  baby come on back come on back","until ure in my arms again",NA,NA,NA,NA,NA,NA,"Uncharted","Uncharted"
"108",19,"prince miscellaneous 20th century express s s cry out in the dead of night  from the crack house across the street  u are comin  down with a sudden migraine  and here it is almost 3  next door they are fightin  again  somebody done somebody wrong  and some freak keeps calling up  want a quickie on the telephone  u try and try 2 close your eyes at night  but all u do is toss and turn until broad daylight  chorus   welcome aboard the 20th century express  welcome aboard the 20th century express  fast food chains keep popping up  everybody eatin  on the run  hamburgers  french fries  hurry please  but hold the indigestion  the rush hour traffic slows u down  as u race against the clock  but fasten your seatbelts everyone  there are no intermediate stops  u try and try 2 keep pace with the times  u try and get one step ahead  but u fall 2 steps behind  chorus  ooh yeah  all day  on rey  all say  i say  he say  ok  ok  x4   u try and try 2 close your eyes at night  but all u do is toss and turn until broad daylight  chorus  x2   running 2 the crack house  people gettin  sprung out  welcome aboard   welcome  welcome aboard the 20th century express   livin  in the fast lane  2 much cocaine  welcome aboard   welcome  welcome aboard the 20th century express   the world keep revolvin   and ai not nobody stoppin   welcome  oh yes   welcome  welcome aboard the 20th century express   welcome  welcome  welcome aboard the 20th century express  we are livin  2 fast  y all  babies makin  babies  hear   oh  welcome the 20th century express","20th century express",NA,NA,NA,NA,NA,NA,"Uncharted","Uncharted"
"109",743,"it really do not matter who you get with cuz it just ai not meant 2 b it really do not matter cuz you never shoulda woulda  even coulda been like me eye can get you what you want anything at all girl all you gotta say is please ask ur   ur sister ur brotha there will never b another never b another like me late afternoon slipped outta my bed turned up the stereo about 2 raise the dead slipped in the bathroom put some olive oil in my hair walked in the closet tryin  2 find something 2 wear then i check my emale 2 c where the party b change the names 2 protect the guilty and get ready 2 creep should eye bring somebody or dance alone  it do not matter 2 me u all cuz 2nite is on  chorus  bout a half past ten and eye am on my way heard you had a fine little puerto rican dj if she ai not got prince new song there is gonna b a scene cuz eye can not stand nobody cussin  at me when i am clean arms all around me soon as eye hit the door good thing i ate my spinach u are thicker than b4 oh what this boy doing y he makin  that face do not he know eye have crazy friends with me ready 2 tear up this place   chorus  ca not you c this is inevitable what the use in wastin  time  u and me we could be com4table all that takes is 4 you 2 make up ur mind so now what the matter  u and me  we both dimes said we were all them other pennies should scatter we ought not waste this time that y     chorus ","therell never b another like me",NA,NA,NA,NA,NA,NA,"Uncharted","Uncharted"
"110",680,"some days  i feel tangerine some days  i feel blue some days  i just wanna black out everything i felt for you even though i take your picture everywhere i go i use it for a coaster and drink the overflow some days  i make a lot of money and give it all away to take my mind off the tangerine color of your negligee beggars can not be choosy if they do not know how to serve you got a different phone number and a lot of nerve some days  i feel tangerine some days  i miss you too","tangerine",1999,"Rave Un2 the Joy Fantastic",NA,NA,NA,"1990s","Uncharted","Uncharted"
"111",391,"i was only 17 when he saw me the apple of my daddy eye cute but not jaded my hair in two braids he looked at me and just said hi was it his cologne or the style of his hair  they told me i should stay away and not go there sometimes i am all alone and do not see him i wish it was different but i do not care i am a kept woman  he do not see nobody but me we got a pretty little house and only me and him got the key a kept woman  sometimes i do not know why a kept woman  sometimes i cry he likes it when i dance for no reason he likes it when i dance but he does not like it when i raise my voice to him i try to stop but i can not was it his cologne or the style of his hair  i do not know how but he took me there and now i hug my pillow more nights than not it crazy but the butterflies just do not stop  cause i am a kept woman  he do not see nobody but me we got a pretty little house and only me and him got the key a kept woman  sometimes i do not know why a kept woman  sometimes i cry kept woman  kept woman  he the hotness in my fire i give him anything he desires it may sound crazy but it suits me fine  cause ai not nobody ever take away what mine i am a kept woman  cause he every single thing i need kept woman  everything in between do not you know that i am a kept woman  he loves me like no other i am a kept woman and i am his queen yes i am  yes i am and i do not care  no kept woman  i do not care kept woman  i do not care kept woman  i do not care","kept woman",NA,"Other Songs",NA,NA,NA,NA,"Uncharted","Uncharted"
"112",243,"i like funky music i like funky music i like funky music i like funky music everybody get on the floor we got the groove you feel in your soul when you are good  n  funky  you can say you know dance to the funky music  come on i like funky music i like funky music i like funky music i like funky music if you ai not got no partner you can use your hair shake it like a hooker  baby  i do not care whatever you do  you got to make the people stare dance to the funky music  yeah i like funky music i like funky music i like funky music i like funky music this beat i got is specially designed  specially designed  to make you lose your phone number to somebody fine the nastier you get  the funkier we got my claim to fame is scandal  baby and i ai not here to stop  ow   i like funky music i like funky music i did not come to trample on what you think is cool i just wanna hip you to a brand new groove if you like your funky mellow  this ai not for you dance to the funky music  shoo bed ooh  yeah  i like funky music i like funky music i like funky music i like funky music uh huh  uh   uh  uh  uh huh uh  uh huh uh  uh  uh huh yo  the time has come once again to send a dance groove that will not end do not pretend that your feet is tired and grab my hand girlfriend and move it  baby  move it i know you can do it move it  baby  move it i know you can do it  come on i said         come on        now  let me tell you somethin  huh  lookin  so good on the floor make me wanna get to know you better and dancin  all up next to you is a feeling  i can feel forever being together and doing what clever and been so hard to stop it  uh i know no one could top it huh  yeah this groove is funky huh  yeah yo n p g  c drop it  huh  say what  huh  huh  say what  say  say what  uh  uh  uh say  say  say what  huh  uh  uh  uh yo  enough respect goes to the artist and the n p g  crew and the whole new york and uptown and across the country massive big up yourselves  cos it comin  at cha loud alright ","funky music",1998,"Newpower Soul",NA,NA,NA,"1990s","Uncharted","Uncharted"
"113",326,"you have just accessed the hate experience do you wish to change your entry  very well  please enjoy your experience i never thought that you would be the one after all the things that we have been through you gave your body to another in the name of fun i hope you had some  baby  if not  boo hoo it so sad but i hate you like a day without sunshine it so bad but i hate you  cuz you are all that ever on my mind honey  i hate you  now everyday would be a waste of time  cuz i hate you i never thought that i could feel this way to fall in love was a table reserved for fools say you are sorry if you wanna but it all in vain i am out the door sweet baby  that right  we are through it so sad but i hate you like a day without sunshine it so bad but i hate you  cuz you are all that ever on my mind honey  i hate you  now everyday would be a waste of time  cuz i hate you this court is now in session  would the defendant please rise  state your name for the court  never mind  billy jack    you are being charged with one too many counts of heartbreaking in the 1st degree  i do not give a   about the others my main concern is you and me your honor  may i call to the stand my one and only witness  a girl that know   well  she did not have no   business i know what you did  how you did it and who you did it with so you might as well take your time  cuz you sure can not plead the 5th now raise your right hand  do you swear to tell the whole truth not the half truth like you used to  so help you god  nod your head one time if you hear me if you do not  i will have to use the rod anything to make you see that you are gonna miss me yeah  you are gonna miss me if it please the court i would like to have the defendant place her hands behind her back so i can tie her up tight and get into the act the act of showing her how good it used to be i want it to be so good she falls back in love with me close your eyes  i am gonna cover your ass with this sheet and i want you to pump your hips like you used to and baby  you better stay on the beat did you do to your other man the same things that you did to me  right now i hate you so much i wanna make love until you do see that it killin  me  baby  to be without you  cuz all i ever wanted to do was to be with you i hate you  i hate you  because i love you  because i love you  but i can not love you  i can not love you  because i hate you  i hate you  because i love you i love you  baby i love you  i love you  i love you i love you  cuz you are all that ever on my mind i hate you because i love you","i hate you",NA,NA,NA,NA,NA,NA,"Uncharted","Uncharted"
"114",225,"prince miscellaneous fantastic fantastic   controversy music            late at night when the world is sleeping u are frightened  cause the power creeping in your room is something u are afraid of life or doom is what this feeling made of power fantastic is in your life at last u are a little apprehensive  cause what it is  is what u want and need minor g is the chord of pleasure it will be played 11 measures u will see fire but you are cool as ice u are a liar  huh   if u say this is not nice power fantastic is in your life at last u are a little apprehensive what it is  is what u want and need power power   ooh power fantastic is in your life at last u are a wee bit apprehensive  cause what it is  is what u want and need power  power  power fantastic","fantastic",NA,NA,NA,NA,NA,NA,"Uncharted","Uncharted"
"115",542,"late at night  when the world is sleeping you are frightened  cause the power creeping in your room is something you are afraid of life or doom is what this feeling made of power fantastic is in your life at last you are a little apprehensive  cause what it is  is what you want and need minor g is the chord of pleasure it will be played eleven measures you will see fire but you are cool as ice you lie if you say this is not nice power fantastic is in your life at last you are a little apprehensive what it is  is what you want and need power  power power fantastic is in your life at last you are a wee bit apprehensive  cause what it is  is what you want and need power  power power fantastic","power fantastic",NA,NA,NA,NA,NA,NA,"Uncharted","Uncharted"
"116",377,"ooh  this is the joint i have been layin  for all night this is the one that really gets me gone the dj on point  i am sayin  he alright we gonna fun baby  baby  it on gotta new puerto rican score and she doin  it on the floor when the groove  rubber baby hot i am givin  it all i got ooh  everybody here this is the jam of the year ooh  everybody here this is the jam of the year gimme a drummer and a funky bass line that all i need and i am ready to flow been chillin  in the cut and now i am comin  to get mine and if i hit you once  i got to hit you some more gotta new puerto rican score and she doin  it on the floor  doin  it on the floor  when the groove  rubber baby hot i am givin  it all i got ooh  everybody here this is the jam of the year ooh  everybody here this is the jam of the year  everybody here  yeah  ooh ooh let make a toast to the host with the most  heh raise your glass if you are on your own  yeah  raise your glass if you are on your own  all the girls say   ho   ho  if your man givin  up the gold all the fellas say   woof  if you are only givin  up the bone tonight we are gonna hide it  whatcha say  baby   yeah  baby  whatcha say  baby   this is the joint i have been layin  for all night this is the one that really gets me gone  this is the one  this is the one  the dj on point  i am sayin   he alright we gonna fun baby  baby  it on gotta new puerto rican score and she doin  it on the floor when the groove  rubber baby hot i am givin  it all i got i am givin  it  i am givin  it  i am givin  it all i got ooh  everybody here this is the jam of the year ooh  everybody here this is the jam of the year  everybody here   this is the jam of the year  did you come to jam  baby   oh yeah  then let me see ya  come on ooh  everybody here this is the jam of the year ooh  everybody here this is the jam of the year ooh  everybody here this is the jam of the year ooh  everybody here this is the jam of the year ooh  everybody here this is the jam of the year ooh  everybody here this is the jam of the year yeah  baby  i wanna  i wanna jam  come on  everybody here   j jam  j jam  j jam  j jam of the year  say  what  ha  ha i like that beat  oh baby i wanna  i wanna i wanna  i wanna i wanna  i wanna everybody ooh  everybody here this is the jam of the year ooh  everybody here this is the jam of the year  everybody here   this is the jam of the year   everybody here  ooh  ooh  ooh  ooh ooh  ooh  ooh  ooh this is the jam of the year ooh  everybody here  everybody  this is the jam of the year  this is the jam of the year ","jam of the year",1996,"Emancipation",NA,NA,NA,"1990s","Uncharted","Uncharted"
"117",741,"prince the rainbow children the work pt  1 every time i watch the other people news i c a false picture of myself  another one of u they try 2 tell us what we want  what 2 believe did not that happen in the garden when somebody spoke 2 eve  but i am willing 2 do the work willing 2 do what i gotta do i am willing 2 do the work tell me now   what about u  look around and tell me ur sun is risen when ur brothers and sisters r in the fall what is left 2 give when r work is done  what do we own besides the right 2 crawl  c we are living in a system that the devil designed and suffering from this devil most heinous crime he tried 2 keep us from the reason we were born that is 2 b the living truth in human 4m but i am willing 2 do the work willing 2 do what i gotta do i am willing 2 do the work tell me now   what about u  this work is not an easy task but this is the work we must do 4 revelation 2 come 2 pass this work is the kind that turns ur back on the ruling class by putting them in their place just like the past taste it  ai not it sweet sweet  gotta lotta work 2 do taste it  ai not it sweet sweet  gotta lotta work 2 do nothing can stop us whatever in r way we got 2 go thru it 2 get 2 it i heard somebody say   i am willing 2 do the work willing 2 do what i gotta do i am willing 2 do the work tell me now   what about u   thank u","the work pt 1",NA,NA,NA,NA,NA,NA,"Uncharted","Uncharted"
"118",266,"girls an  boys he only knew her for a little while but he had grown accustomed to her style she had the cutest ass he would ever seen he did too  they were meant to be they loved to kiss on the steps of versailles it looked like rain  mama  birds do fly i love you  baby  i love you so much maybe we can stay in touch meet me in another world  space an  joy vous etes tres belle  mama  girls an  boys he gave her all the love that anyone can but she was promised to another man he tried so hard not to go insane birds do fly  looks like rain i love you  baby  i love you so much maybe we can stay in touch meet me in another world  space an  joy vous etes tres belle  mama  girls an  boys life is precious  baby  love is so rare i can take the breakup if you say that you care he had to run away  his pride was too strong it started rainin   baby  the birds were gone i love you baby  i love you so much maybe  maybe we can stay in touch meet me in another world  space an  joy vous etes tres belle  mama  girls an  boys i love you baby  i love you so much maybe we can stay in touch meet me in another world  space an  joy vous etes tres belle  mama  girls an  boys i love you baby  i love you so much an  maybe we can stay in touch meet me in another world  space an  joy vous etes tres belle  mama  girls an  boys i want you  baby  i want you so much maybe  maybe we can stay in touch another world  space  lips  face happiness in it uncut form is the feelin  that i get  you are warm  warm happy what i get when we do  what we do happiness  mama  is bein  with you  good lord meet me somewhere after dawn  lord i love you baby  i love you so much maybe we can stay in touch i love you baby  i love you so much vous etes belle  so  like  i saw you from across the room and  honey  you danced so hard i smelled your perfume and the look on your lips said   that  a we could talk some more  some more on this dance floor  baby  hear the words i am sayin   feel the sex i am layin  naughty what i wanna be with you tonight  tonight vous etes tres belle  mama  girls an  boys vous etes tres belle  mama  girls an  boys vous etes tres belle  mama  girls an  boys vous etes tres belle  mama  girls an  boys girls an  boys","girls and boys",NA,NA,NA,NA,NA,NA,"Uncharted","Uncharted"
"119",567,"ripopgodazippa  ripopgodazippa if you flick of the pink plush then this brother trippa start down at the bass then stop at the treble circle the midrange and up go me levels  precious  by chante is rockin  the box this cannot be foreplay  cause this be too hot up go the left thigh on me shoulder there up go the right and me blood pressure there with my tongue in the cheek of the gold underwear one yank of the teeth and they off on the chair ripopgodazippa  ripopgodazippa if you flick of the pink plush then this brother trippa my girlie  how in the world did you learn this that you know  ripopgodazippa  etc   etc  so this bench that i normally use for the weights my girl  she lay me down and try my soul to take and devilish this night she was before as i am layin  there she take it all the way down  the girl go down to the hair she would not move a muscle for what seemed like days my heart stop beating and i died this way ripopgodazippa  ripopgodazippa if you flick of the pink plush then this brother trippa my girlie  how in the world did you learn this that you know  ripopgodazippa  etc   etc  so ripopgodazippa i lay me girl down on the fake lamb fur it fake but it still soft as what between her lavender oil come from the bottle like i do whenever i think about me zippa rippin  so good all down the body and devil between the thighs ripop go zippa and you get a big surprise ripopgodazippa  ripopgodazippa if you flick of the pink plush then this brother trippa my girlie  how in the world did you learn this that you know  ripopgodazippa  etc   etc  so ripopgodazippa instead of walking inside  i just knock on the door i take a look around until she beggin  me more  more  more when i finally come inside  i am standin  perfectly still i can not take no more  pump you then i will i just wanna call your name but i do not know what to say ripopgodazippa if you are always with me you will never have to call me touche  touche hey ripopgodazippa  ripopgodazippa if you flick of the pink plush then this brother trippa my girlie  how in the world did you learn this that you know  ripopgodazippa  etc   etc  so ripopgodazippa  ripopgodazippa  etc   etc  so ripopgodazippa","ripopgodazippa",1998,"Crystal Ball",NA,NA,NA,"1990s","Uncharted","Uncharted"
"120",97,"billy jack    billy jack  billy jack             what if i called you silly names just like the ones that you call me  what if i filled your eyes with tears  so many that you cannot see do you ever really cry  billy jack    do you ever really try  billy jack    do you ever wonder why  billy jack    billy jack           billy jack   what if i told you that you are worth only half of what you be  would you come forth and tell no lies  would you come forth and talk to me  do you ever really cry  billy jack    do you ever really try  billy jack    do you ever wonder why  billy jack    billy jack           billy jack   what distortion could you let your pen forget today  what misfortune left your heart so broken you only say words intended to belittle or dismay  what if i say you lie  billy jack    well open letters are not the only things that open wounds long hard shiny rocket ships can fly you to the moon whenever evil wants to groove come  let me fly you to the moon then you can see how love will bloom joy  it in the dictionary  see j   billy jack   do you ever really cry  do you ever really try  do you ever wonder why  billy jack   billy  billy  oh yeah  yeah  yeah do you ever really cry  billy jack    do you ever really try  billy jack    do you ever wonder why  billy jack    billy jack    billy  billy  oh billy jack   billy jack  billy jack billy jack   billy jack  billy jack billy jack  billy jack billy jack  billy jack billy jack   solo with that on there billy jack  billy jack billy jack  billy jack billy jack   billy jack   please access another experience please access another experience billy jack   y all some tight   ers","billy jack",NA,NA,NA,NA,NA,NA,"Uncharted","Uncharted"
"121",671,"close the shop  let take a drive take a break from 9 to 5 it so great to be alive  oh yeah we could rent some roller skates we could skate around the lake if we do not know how  we will fake it  oh yeah strollin   strollin  we could have fun just strollin  rockin   rollin   oh yeah let forget about the time    time  let relax and ease our mind    mind  we deserve to just feel fine  oh yeah we could stroll the mezzanine    stroll  buy some dirty magazine laugh behind it while we are eatin  ice   strollin   strollin  we could have fun just strollin  rockin   rollin  oh yeah see the man with the blue guitar maybe one day  he will be a star give him your ice   and i will give him the keys to my car there so much hate goin  round hard to not let it get you down least we can do is make a joyful sound  oh yeah strollin   strollin  we could have fun just strollin  rockin   rollin   oh yeah strollin   strollin     strollin   strollin   rockin   rollin     we could have fun  we could have fun  oh yeah  just strollin   close the shop  let take a ride    strollin   strollin   take a break from 9 to 5    we could have fun just strollin   it so great  so great to be alive    rockin   rollin   oh yeah oh yeah  strollin   strollin     strollin   strollin   we could have fun just strollin   rockin   rollin   oh yeah    rockin   rollin   oh yeah  strollin   strollin     strollin   strollin   we could have fun just strollin    rockin   rollin   oh yeah  oh yeah  strollin   strollin     strollin   strollin   we could have fun just strollin   oh yeah","strollin",NA,NA,NA,NA,NA,NA,"Uncharted","Uncharted"
"122",748,"get on top  you will cop  oh   the time is now  take the chance get on top  you will cop  winner takes all as we dance to the rhythm of the   beat never will you see me drowning in pool of self pity so  as a i ooze with the flow  here we go and if you gimme an end  so take a little mo  the army of the brothers shall overcome bring in a crash from the drums  ho things have gotta change get on top  you will cop  ho hey  everybody  things have gotta change     get on top  u will cop  ho  boogie  although the times have changed some things remain i say love thy neighbor and i will gangk him if he ai not got no game the rules of design read double standards and if you are weak in the game that somethin  that you will die for  die for  yeah  come on get on top  you will cop  ho everybody  things have gotta change     get on top  you will cop  ho  boogie  like m l k  of yesterday  who died to keep a dream alive funny but it seems like he died in vain  cuz as i look around i see we ai not learned   and if the words are sticking  then hit me with it  cuz you have gotta be true to yourself do the best you can with the hand you have been dealt you see  i would not have it any other way  cuz it part of the game we play come on     yeah  things have gotta change get on top  you will cop  ho  boogie  everybody  things have gotta change     yeah  get on top  boogie  the army of the brothers shall overcome and never succumb to the humdrum saving to keep the person brain numb free your mind and your ass will follow you have got to stand strong and never cow tow to a sucker with a closed mind walkin  the thin line still livin  the days of the breadline since this is the 90  reach a little higher npg  take it to the wire     yeah  things have gotta change come along  get on top  you will cop  ho  boogie  everybody  things have gotta change     yeah  get on top  you will cop  ho  boogie  is today just another replay of yesterday  a country in disarray  discrimination a mainstay i am not naive  that why i contemplate if that truly the faith  then there no time to waste so let get ready to go the length  on the strength we are prospering together as one in this environment     yeah  come on  things have gotta change yeah  get on top  you will cop  ho  boogie  everybody  things have gotta change     yeah  get on top  you will cop  ho  boogie     boogie     boogie  everybody  things have gotta change     get on top  you will cop  ho everybody  things have gotta change     get on top  you will cop  ho  boogie  everybody  things have gotta change     get on top  you will cop  ho","things have got to change",NA,"Other Songs",NA,NA,NA,NA,"Uncharted","Uncharted"
"123",6,"prince miscellaneous 777 9311 baby  what your phone number   i know i am kinda fast  but i hate 2 waste time  baby  what your phone number   girl  i have 2 ask cuz u are so fine  chorus   777 9311  i wanna spend the night with u if that alright  777 9311  ooh baby  please can i come 2 night   baby  what your phone number   how can u be reached on a lonely night   baby  what your phone number   how can i get into u when i am feeling right   chorus  jellybean  ai not nothin  worse than rejection  i would feel a little better if u slapped my face  hey  what your phone number   ca not u see the agony i am goin  through   baby  what your phone number   girl  it getting hard baby  will not u let me love u  love u   chorus  yeah  ooh  hey baby what your phone number   i know it sounds fast  but i ai not got all night  come on baby  what your phone number   u know i got 2 be cooler than this cat u are sittin  with  i will do u right  baby  come on   x3   oh no  come on   oh  hey  chorus  come 2 night if it alright  777 9311   honey  please can i come 2 night   ca not u see what i am gonna do   777 9311   i wanna do it 2 night  baby  i wanna do it 2 u  it on fire  u burn me out  777 9311   it getting higher  u know what i am talkin  about  help me out good lord above  777 9311   marry me girl  give me some of that love  terry  777 9311  x13 ","7779311",NA,NA,NA,NA,NA,NA,"Uncharted","Uncharted"
"124",7,"  u  you are so fine seems to happen to me each and every time we make love i can not hold back  it like havin  a hundred million little heart attacks   u  baby you are so fine   this kooky love affair all i ever wanna do is play in your hair two people crazy in love  into one another like a hand in glove   this kooky love affair   u like animals just born to breed come to think about ya baby  you are my only need i am on fire  til you come and put me out all i am trying to say is that my psychedelic shouts when u   me    u when i am in your arms it all that i can do when we are makin  love  i can not hold back it like havin  a hundred million little heart attacks   u  baby you are so fine    u  baby you are so fine  that one dedicated to all the lovers that was beautiful this one dedicates to the whores what you just   pimp rag  pimp rag  check just once will you talk to me    tootsie pop  tootsie pop  check not at me  not around me  not through me  raise your cane  cane    what do you believe in  god who is your god  you is this reality or just another facade  ","u",NA,NA,NA,NA,NA,NA,"Uncharted","Uncharted"
"125",183,"prince diamonds and pearls do your dance do your dance   controversy music   1991                  on the us maxisingle for    do your dance  why should u wait any longer      let me push up on it  take a chance  it could only make you stronger   i am gonna push up on it   heh  heh  heh  do your dance   it time to do your dance                  it time to do your dance                                              come on  come on  la la la la la    come on  come on  move something  la la la la       move something                    come on  come on  move something  la la la la la    come on  move something  la la la la       come on  come on  move something  yeah  do your dance   yeah   why should u wait any longer      why you wanna wait    u wanna babe  u wanna babe  u wanna dance with me do your dance  dance  dance  dance  u wanna dance with me  oh yeah   let dance  doobie  doobie  doobie do your dance   do your dance    it time to do your dance   u know what i am saying  it time  y all   it time to do your dance  ooh baby  baby               it time to do that dance  oh yeah  that it  ooh baby  baby               it ai not that hard c amon now  ohh baby  come on let dance ooh baby  baby ooh baby  baby ohh baby  come on let dance  oh yeah  get on up do your dance  sweet thing   shake it  shake it baby  do your dance                  sweet thing   it time to do your dance    sweet thing  everybody got somethin  that they know how to do   everybody  if you wanna do it baby  i will do it with you         come on  come on do  uh    here we go  come on do  uh    here we go  do your dance come on do your dance       it time to do your dance  do your dance       it time to do your dance  come on  now do your dance       it time to do your dance  do your dance       it time to do your dance  come on  now                             get on the floor and slam  listen 2 the drummer        get on the floor and slam  listen 2 the drummer  now   get on the floor and slam  listen 2 the drummer        get on the floor and slam  listen 2 the drummer  now listen 2 the bass  now play it funky 4 u  now listen 2 the guitar          go levi   play it funky 4 u  now       ai not nobody funky like me   tommy barbarella ch ch choppin  on the purpleaxxe  tommy  tommy  tommy  r to the o s i e rosie  do me funky dance  dance  everybody do your dance   we gotta get funky now  dance  dance  everybody do your dance   we gotta get funky now  dance  dance  everybody do your dance dance  dance  everybody do your dance dance  dance dance  dance    gotta do your dance  dance  dance    do your dance  now  dance  dance  everybody do your dance dance  dance  everybody do your dance    do your dance  dance  dance  everybody do your dance    gotta get funky  now  oh yeah  gotta get funky  now  oh yeah do your dance  dance  oh yeah do your dance  dance  oh yeah can u wait any longer  oh yeah do your dance  oh yeah it will make you stronger now  oh yeah do your dance  oh yeah do your dance   hurt me  hurt me  do your dance   hurt me  hurt me      repeated 12 more times  along with  c amon new power    sing to the rhythm   reminds me of the days  in the funky days  in the bay area  mon    ahh yeah   it was a party to the morning light a  funky fresh for the 90 oh yeah  funky fresh for the 90 uhyeah  funky fresh for the 90 ho  funky fresh for the 90 come on  funky fresh for the 90 come on  funky fresh for the 90","do your dance",NA,"Other Songs",NA,NA,NA,NA,"Uncharted","Uncharted"
"126",778,"walk on their side of the street do not walk where it feels the best walk away from people you meet do not talk to strangers unless they walk the way you want them to do not walk unless the others do i said walk like you could use a ride do not walk with a confident stride then people will walk all over you do not talk till they tell you to do not talk if it against the rules just walk away and be a fool that what they want you to do yeah  that what they want you to do sha  na  na  na  na sha  na  na  na  na sha  na  na  na  na sha  na  na  na  na do not talk if it against the rules just walk away and be a fool that what they want you to do so you gotta walk like you wanna make it do not walk like you just can not take it g on walk on whatever side you like do not walk wherever they tell you to psyche the sun will shine upon you one day you are always walkin  your way oh  the sun will shine upon you one day you are always walkin  your way  hey sha  na  na  na  na sha  na  na  na  na sha  na  na  na  na sha  na  na  na  na  checkin  me now just walkin   said i am walkin  on your side of the street  checkin  me now just walkin   i am talkin  2 the people i meet  checkin  me now just walkin   alright  hey  alright walk  do not walk  talk  do not talk walk  do not walk  talk  do not talk walk  do not walk  talk  do not talk","walk dont walk",NA,NA,NA,NA,NA,NA,"Uncharted","Uncharted"
"127",811,"prince miscellaneous witness witness    controversy music          i am a witness for the prosecution of a hate in this love affair i  who am guilty of nothing but always wantin  to be there mama  i swear i love you  i always have in school i once traded chairs if i could not be near you  i wanted what was yours now i just want you to care i am a witness i am a witness for the prosecution of hate in this love affair  oh  whatever it is you think that i did you are wrong  i would not even dare  cuz you know i am a witness for the prosecution of hate in this love affair yes i am do not you know i am  i am a witness  witness witness for the prosecution  witness for the prosecution i am a witness for the prosecution of hate in this love affair  yeah  i  who am guilty of nothing but always wantin  you to be there  be there  i swear by heaven i love you  i always have  in school i once traded chairs if i could not be near you  i wanted what was yours now i just want you to care i am a witness for the prosecution of hate in this love affair yes i am   let me tell you  whatever it is you think that i did you are wrong  i would not even dare  no  no  no  witness for the prosecution  witness for the prosecution witness  witness  witness  witness  witness  ooh  witness witness for the prosecution of hate in this love affair witness  witness witness for the prosecution  witness for the prosecution guilty  7 years hard labor  take him away ","witness",NA,NA,NA,NA,NA,NA,"Uncharted","Uncharted"
"128",657,"prince miscellaneous splash i called you on the phone you knew it was me all along you did not even say hello  cause you do not need words to let me know all the things that you do to me  you fulfill my every fantasy  splash   i am under your power splash   i could go for hours  splash   you could devour me and i would only want you more  oh  when you make love to me there things i never thought i would see  i cherish             in every sea oh  i love when you play with me ask your mom if you could stay with me  splash   i am under your power splash   i could go for hours  splash   you could devour me and i would only want you more  our love is a rhythm together we will have so much fun  you go from room to room leaving traces of your sweet perfume if i could i would bottle it  everybody should know the feelin  i get when i am in your cool embrace your lips  your arms  your legs  your face  splash   i am under your power splash   i could go for hours  splash   you could devour me and i would only want you more  i want you more and more and more  splash splash splash splash splash splash ","splash",NA,"Other Songs",NA,NA,NA,NA,"Uncharted","Uncharted"
